"KOD10,C,5","JEL,C,1","NEV,C,150","NEM,C,1","KOR_A,N,2,0","KOR_F,N,2,0","ERV_KEZD,C,8","ERV_VEGE,C,8"
A0000,,"Cholera (Vibrio cholerae 01, cholera biovariáns okozta)",0,0,99,19950101,29991231
A0010,,"Cholera (Vibrio cholerae 01, El Tor biovariáns okozta)",0,0,99,19950101,29991231
A0090,,Cholera k.m.n.,0,0,99,19950101,29991231
A0100,,Hastyphus,0,0,99,19950101,29991231
A0110,,"Paratyphus ""A""",0,0,99,19950101,29991231
A0120,,"Paratyphus ""B""",0,0,99,19950101,29991231
A0130,,"Paratyphus ""C""",0,0,99,19950101,29991231
A0140,,Paratyphus k.m.n.,0,0,99,19950101,29991231
A0200,,Salmonella bélhurut,0,0,99,19950101,29991231
A0210,,Salmonella sepsis,0,0,99,19950101,29991231
A0220,+,Salmonella helyi fertïzések,0,0,99,19950101,29991231
A0280,,Egyéb meghatározott salmonella fertïzések,0,0,99,19950101,29991231
A0290,,Salmonella fertïzés k.m.n.,0,0,99,19950101,29991231
A0300,,"Shigellosis, Shigella dysenteriae okozta",0,0,99,19950101,29991231
A0310,,Shigellosis Shigella flexneri miatt,0,0,99,19950101,29991231
A0320,,"Shigellosis, Shigella boydii miatt",0,0,99,19950101,29991231
A0330,,"Shigellosis, Shigella sonnei miatt",0,0,99,19950101,29991231
A0380,,Egyéb shigellosis,0,0,99,19950101,29991231
A0390,,Shigellosis k.m.n.,0,0,99,19950101,29991231
A0400,,Enteropathogen Escherichia coli fertïzés,0,0,99,19950101,29991231
A0410,,Enterotoxikus Escherichia coli fertïzés,0,0,99,19950101,29991231
A0420,,Enteroinvasiv Escherichia coli fertïzés,0,0,99,19950101,29991231
A0430,,Enterohaemorrhagiás Escherichia coli fertïzés,0,0,99,19950101,29991231
A0440,,"Escherichia coli enteritis, k.m.n.",0,0,99,19950101,29991231
A0450,,Campylobacter okozta bélhurut,0,0,99,19950101,29991231
A0460,,Yersinia enterocolitica okozta bélhurut,0,0,99,19950101,29991231
A0470,,Clostridium difficile okozta vékony- és vastagbélgyulladás,0,0,99,19950101,29991231
A0480,,Egyéb meghatározott baktériumok által okozott bélfertïzések,0,0,99,19950101,29991231
A0490,,Baktériumok által okozott bélfertïzés k.m.n.,0,0,99,19950101,29991231
A0500,,Staphylococcus által okozott ételmérgezés,0,0,99,19950101,29991231
A0510,,Botulizmus,0,0,99,19950101,29991231
A0520,,Clostridium perfringens [Clostridium welchii] okozta ételmérgezés,0,0,99,19950101,29991231
A0530,,Vibrio parahaemolyticus ételmérgezés,0,0,99,19950101,29991231
A0540,,Bacillus cereus ételmérgezés,0,0,99,19950101,29991231
A0580,,Egyéb meghatározott baktériumok által okozott ételmérgezések,0,0,99,19950101,29991231
A0590,,"Bakteriális ételmérgezés, k.m.n.",0,0,99,19950101,29991231
A0600,,Heveny amoebás dysenteria,0,0,99,19950101,29991231
A0610,,Idült bél amoebiasis,0,0,99,19950101,29991231
A0620,,"Amoebás vastagbélgyulladás, nem vérhassal járó",0,0,99,19950101,29991231
A0630,,Bél amoeboma,0,0,99,19950101,29991231
A0640,,Amoebás májtályog,0,0,99,19950101,29991231
A0650,+,Amoebás tüdïtályog (J99.8*),0,0,99,19950101,29991231
A0660,+,Amoebás agytályog (G07*),0,0,99,19950101,29991231
A0670,,Bïr amoebiasis,0,0,99,19950101,29991231
A0680,,Egyéb lokalizációjú amoebás fertïzés,0,0,99,19950101,29991231
A0690,,Amoebiasis k.m.n.,0,0,99,19950101,29991231
A0700,,Balantidiasis,0,0,99,19950101,29991231
A0710,,Giardiasis [lambliasis],0,0,99,19950101,29991231
A0720,,Cryptosporidiosis,0,0,99,19950101,29991231
A0730,,Isosporosis,0,0,99,19950101,29991231
A0780,,Egyéb meghatározott protozoon bélbetegségek,0,0,99,19950101,29991231
A0790,,Protozoon bélbetegség k.m.n.,0,0,99,19950101,29991231
A0800,,Rotavirus bélhurut,0,0,99,19950101,29991231
A0810,,Norwalk-ágens által okozott heveny gyomor-bélbetegség,0,0,99,19950101,29991231
A0820,,Adenovirus okozta bélhurut,0,0,99,19950101,29991231
A0830,,Egyéb vírusos bélhurut,0,0,99,19950101,29991231
A0840,,Vírusos bélfertïzés k.m.n.,0,0,99,19950101,29991231
A0850,,Egyéb meghatározott bélfertïzések,0,0,99,19950101,29991231
A09H0,,Feltételezetten fertïzï eredet¹ hasmenés és gyomor-bélhurut,0,0,99,19950101,29991231
A1500,,"Tüdïgümïkór, a köpet mikroszkópos vizsgálatával, tenyésztéssel vagy anélkül igazolt",0,0,99,19950101,29991231
A1501,,"Tüdïgümïkór, mikroszkópos pozitiv, caverna nincs, egyoldali",0,0,99,19950101,29991231
A1502,,"Tüdïgümïkór, mikroszkópos pozitiv, caverna nincs, kétoldali",0,0,99,19950101,29991231
A1503,,"Tüdïgümïkór, mikroszkópos pozitiv, cavarnás, egyoldali",0,0,99,19950101,29991231
A1504,,"Tüdïgümïkór, mikroszkópos pozitiv, cavarnás, kétoldali",0,0,99,19950101,29991231
A1505,,"Tüdïgümïkór, mikroszkópos pozitiv, recidiva, caverna nincs",0,0,99,19950101,29991231
A1506,,"Tüdïgümïkór, mikroszkópos pozitiv, recidiva, cavernával",0,0,99,19950101,29991231
A150A,,"Tüdïgümïkór, köpet mikr. vizsg. teny.-el, vagy anélk. ig. polirezist.",0,0,99,19950101,29991231
A1510,,"Tüdïgümïkór, csak tenyésztéssel igazolt",0,0,99,19950101,29991231
A1511,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali",0,0,99,19950101,29991231
A1512,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, caverna nincs, kétoldali",0,0,99,19950101,29991231
A1513,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, cavernás, egyoldali",0,0,99,19950101,29991231
A1514,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, cavernás, kétoldali",0,0,99,19950101,29991231
A1515,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, recidiva, egyoldali",0,0,99,19950101,29991231
A1516,,"Tüdïgümïkór, csak tenyésztéssel pozitiv, recidiva, kétoldali",0,0,99,19950101,29991231
A151A,,"Tüdïgümïkór, csak tenyésztéssel igazolt - polirezisztens kórokozóval",0,0,99,19950101,29991231
A1520,,"Tüdïgümïkór, szövettani vizsgálattal kimutatott",0,0,99,19950101,29991231
A1521,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, caverna nincs, egyoldali",0,0,99,19950101,29991231
A1522,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali",0,0,99,19950101,29991231
A1523,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, cavernás, egyoldali",0,0,99,19950101,29991231
A1524,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, cavernás, kétoldali",0,0,99,19950101,29991231
A1525,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, recidiva, egyoldali",0,0,99,19950101,29991231
A1526,,"Tüdïgümïkór, szövettani vizsg.-al igazolt, recidiva, kétoldali",0,0,99,19950101,29991231
A1530,,"Tüdïgümïkór, k.m.n. módon igazolt",0,0,99,19950101,29991231
A1531,,"Tüdïgümïkór. k.m.n. módon igazolt, caverna nincs, egyoldali",0,0,99,19950101,29991231
A1532,,"Tüdïgümïkór. k.m.n. módon igazolt, caverna nincs, kétoldali",0,0,99,19950101,29991231
A1533,,"Tüdïgümïkór. k.m.n. módon igazolt, cavernával, egyoldali",0,0,99,19950101,29991231
A1534,,"Tüdïgümïkór. k.m.n. módon igazolt, cavernával kétoldali",0,0,99,19950101,29991231
A1535,,"Tüdïgümïkór. k.m.n. módon igazolt, recidiva, egyoldali",0,0,99,19950101,29991231
A1536,,"Tüdïgümïkór. k.m.n. módon igazolt, recidiva, kétoldali",0,0,99,19950101,29991231
A1540,,"Mellkasi nyirokcsomó gümïkór, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1541,,"Hilusi nyirokcsomó gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1542,,"Mediastinalis nyirokcsomó gümïkór, bakt. és/vagy szöv.vizsg. igazolt",0,0,99,19950101,29991231
A1543,,"Tracheobronchiális nyirokcsomó gümïkór, bakt. és/vagy szöv.vizsg.igaz",0,0,99,19950101,29991231
A1550,,"Gége, légcsï, hörgï gümïkór, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1551,,"Gége gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1552,,"Hangszalag gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1553,,"Trachea gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1554,,"Bronchus gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A155A,,"A gége,légcsï és hörgïk gümókórja,bakt. és szöv. vizsg. ig. polirezist",0,0,99,19950101,29991231
A1560,,"Gümïkóros mellhártyagyulladás, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1561,,"Pleuritis - gümïkóros, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1562,,"Empyema - gümïkóros, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A156A,,"Gümïkóros mellhártyagyull., bakt. és szöv. vizsg.-tal ig. polirezist.",0,0,99,19950101,29991231
A1570,,"Elsïdleges légzïszervi gümïkór, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1571,,"Tüdï primaer complexus, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1572,,"Nyirokcsomó gümïkór (elsïdleges), bakt. és/vagy szöv.vizsg. igazolt",0,0,99,19950101,29991231
A1573,,"Pleuritis - gümïkóros (elsïdleges), bakt. és/vagy szöv.vizsg. igazolt",0,0,99,19950101,29991231
A1574,,"Empyema - gümïkóros (elsïdleges), bakt. és/vagy szöv. vizsg. igazolt",0,0,99,19950101,29991231
A1580,,"Egyéb légzïszervi gümïkór, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1581,,"Mediastinalis gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1582,,"Orrgarati gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1583,,"Orrmelléküregi gümïkór, bakt. és/vagy szövett. vizsg. igazolt",0,0,99,19950101,29991231
A1590,,"K.m.n. légzïszervi gümïkór, bakter. és szövettannal igazolt",0,0,99,19950101,29991231
A1600,,"Tüdïgümïkór, negatív bakter. és szövettani vizsgálati eredménnyel",0,0,99,19950101,29991231
A1601,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. caverna nélk., egyoldali",0,0,99,19950101,29991231
A1602,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. caverna nélk., kétoldali",0,0,99,19950101,29991231
A1603,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. cavernával, egyoldali",0,0,99,19950101,29991231
A1604,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. cavernával, kétoldali",0,0,99,19950101,29991231
A1605,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. recidiva, egyoldali",0,0,99,19950101,29991231
A1606,,"Tüdïgümïkór, neg. bakt. és szövettani eredm. recidiva, kétoldali",0,0,99,19950101,29991231
A1610,,"Tüdïgümïkór, bakteriológiai és szövettani vizsgálat nélkül",0,0,99,19950101,29991231
A1611,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. caverna nélk., egyoldali",0,0,99,19950101,29991231
A1612,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. caverna nélk., kétoldali",0,0,99,19950101,29991231
A1613,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. cavernával, egyoldali",0,0,99,19950101,29991231
A1614,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. cavernával, kétoldali",0,0,99,19950101,29991231
A1615,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. recidiva, egyoldali",0,0,99,19950101,29991231
A1616,,"Tüdïgümïkór, bakt.és szövettani vizsg. nélk. recidiva, kétoldali",0,0,99,19950101,29991231
A1620,,"Tüdïgümïkór, bakteriológiai vagy szövettani vizsgálat említése nélkül",0,0,99,19950101,29991231
A1621,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., egyold",0,0,99,19950101,29991231
A1622,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., kétold",0,0,99,19950101,29991231
A1623,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával, egyold",0,0,99,19950101,29991231
A1624,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával kétoldali",0,0,99,19950101,29991231
A1625,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, egyoldali",0,0,99,19950101,29991231
A1626,,"Tüdïgümïkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, kétoldali",0,0,99,19950101,29991231
A1630,,"Mellkasi nyirokcsomó gümïkór, bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1631,,"Hilusi nyirokcsomó gükïkór, bakt. vagy szöv.vizsgálat emlitése nélkül",0,0,99,19950101,29991231
A1632,,"Mediastinalis nyirokcsomó gümïkór, bakt. vagy szöv.vizsg. eml. nélkül",0,0,99,19950101,29991231
A1633,,"Tracheobronchialis nyirokcsomó gümïkór, bakt. v. szöv.vizsg.eml.nélkül",0,0,99,19950101,29991231
A1640,,"Gége, légcsï és hörgï gümïkór, bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1641,,"Gége gümïkór, bakt. vagy szövettani vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1642,,"Hangszalag gümïkór, bakt. vagy szövettani vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1643,,"Trachea gümïkór, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1644,,"Bronchus gümïkór, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1650,,"Gümïkóros mellhártyagyulladás, bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1651,,"Pleuritis - gümïkóros, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1652,,"Empyema - gümïkóros, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1670,,"Primaer légzïszervi gümïkór, bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1671,,"Tüdï primer-comlexus, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
